ticket,time_setup,type,state,volume_initial,volume_current,price_open,sl,tp,symbol,comment
127055393,2026-02-16 02:15:00,0,4,0.2,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.04 / Act=t / Pow=50 / 
127075055,2026-02-16 02:49:25,1,4,0.2,0.0,76.685,0.0,0.0,XAGUSD.p,[tp 76.685]
127075062,2026-02-16 02:49:26,0,4,0.2,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.04 / Act=t / Pow=50 / 
127085338,2026-02-16 03:07:49,1,4,0.2,0.0,76.915,0.0,0.0,XAGUSD.p,[tp 76.915]
127085349,2026-02-16 03:07:49,0,4,0.21,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.04 / Act=t / Pow=50 / 
127091560,2026-02-16 03:19:27,1,4,0.21,0.0,77.145,0.0,0.0,XAGUSD.p,[tp 77.145]
127181330,2026-02-16 05:30:00,0,4,0.21,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.04 / Act=t / Pow=50 / 
127281190,2026-02-16 07:54:20,1,4,0.21,0.0,75.819,0.0,0.0,XAGUSD.p,[tp 75.819]
127281211,2026-02-16 07:54:21,0,4,0.21,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.04 / Act=t / Pow=50 / 
127290295,2026-02-16 08:10:55,0,4,0.34,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.04 / Act=t / Pow=80 / 
127298202,2026-02-16 08:25:42,1,4,0.21,0.0,76.089,0.0,0.0,XAGUSD.p,[tp 76.089]
127305305,2026-02-16 08:36:04,1,4,0.34,0.0,76.29,0.0,0.0,XAGUSD.p,[tp 76.290]
127321065,2026-02-16 09:00:00,1,4,0.36,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.04 / Act=t / Pow=80 / 
127496770,2026-02-16 14:28:02,1,4,0.1,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.04 / Act=t / Pow=25 / 
127499465,2026-02-16 14:32:02,0,4,0.1,0.0,0.0,0.0,0.0,XAGUSD.p,
127515082,2026-02-16 15:00:00,1,4,0.07,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.04 / Act=t / Pow=17 / 
127544241,2026-02-16 15:47:13,0,4,0.07,0.0,76.827,0.0,0.0,XAGUSD.p,[tp 76.827]
127579382,2026-02-16 16:45:46,0,4,0.36,0.0,76.415,0.0,0.0,XAGUSD.p,[tp 76.415]
127615275,2026-02-16 17:30:00,0,4,0.08,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.07 / Act=t / Pow=17 / 
127659121,2026-02-16 18:31:14,1,4,0.08,0.0,76.517,0.0,0.0,XAGUSD.p,[tp 76.517]
127659177,2026-02-16 18:31:14,0,4,0.08,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.07 / Act=t / Pow=17 / 
127710454,2026-02-16 20:10:30,1,4,0.08,0.0,76.726,0.0,0.0,XAGUSD.p,[tp 76.726]
127730022,2026-02-16 20:30:00,1,4,0.08,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.07 / Act=t / Pow=17 / 
127766672,2026-02-16 21:18:15,0,4,0.08,0.0,76.544,0.0,0.0,XAGUSD.p,[tp 76.544]
127801605,2026-02-17 01:17:29,0,4,0.08,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.07 / Act=t / Pow=17 / 
127806596,2026-02-17 01:22:16,1,4,0.08,0.0,76.472,0.0,0.0,XAGUSD.p,[tp 76.472]
127853403,2026-02-17 02:30:02,0,4,0.08,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.07 / Act=t / Pow=17 / 
127862318,2026-02-17 02:45:00,0,4,0.08,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.07 / Act=t / Pow=17 / 
127871279,2026-02-17 02:54:50,0,4,0.16,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.07 / Act=t / Pow=17 / 
127901889,2026-02-17 03:27:04,1,4,0.08,0.0,75.525,0.0,0.0,XAGUSD.p,[tp 75.525]
127901890,2026-02-17 03:27:04,1,4,0.08,0.0,75.525,0.0,0.0,XAGUSD.p,[tp 75.525]
127901929,2026-02-17 03:27:04,1,4,0.16,0.0,75.527,0.0,0.0,XAGUSD.p,[tp 75.527]
127901938,2026-02-17 03:27:04,0,4,0.08,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.07 / Act=t / Pow=17 / 
127902414,2026-02-17 03:27:46,1,4,0.08,0.0,75.764,0.0,0.0,XAGUSD.p,[tp 75.764]
127903753,2026-02-17 03:30:00,0,4,0.08,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.07 / Act=t / Pow=17 / 
127909662,2026-02-17 03:43:36,1,4,0.08,0.0,75.969,0.0,0.0,XAGUSD.p,[tp 75.969]
127910667,2026-02-17 03:45:00,0,4,0.08,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.07 / Act=t / Pow=17 / 
127929429,2026-02-17 04:20:13,1,4,0.08,0.0,76.352,0.0,0.0,XAGUSD.p,[tp 76.352]
127929436,2026-02-17 04:20:13,0,4,0.08,0.0,0.0,0.0,0.0,XAGUSD.p,Test : 0.07 / Act=t / Pow=17 / 
128306487,2026-02-17 13:29:43,1,4,0.08,0.0,0.0,0.0,0.0,XAGUSD.p,
128325888,2026-02-17 14:00:00,0,4,0.1,0.0,0.0,0.0,0.0,XAGUSD.p,Lot0.1/E30/TP15/Mbd5/Recv2
128337631,2026-02-17 14:12:15,1,4,0.1,0.0,74.976,0.0,0.0,XAGUSD.p,[tp 74.976]
128365274,2026-02-17 14:45:00,1,4,0.1,0.0,0.0,0.0,0.0,XAGUSD.p,Lot0.1/E30/TP15/Mbd5/Recv2
128381458,2026-02-17 15:00:19,0,4,0.1,0.0,74.621,0.0,0.0,XAGUSD.p,[tp 74.621]
128415142,2026-02-17 15:30:00,0,4,0.1,0.0,0.0,0.0,0.0,XAGUSD.p,Lot0.1/E30/TP15/Mbd5/Recv2
128428445,2026-02-17 15:41:15,1,4,0.1,0.0,74.575,0.0,0.0,XAGUSD.p,[tp 74.575]
128432427,2026-02-17 15:45:00,0,4,0.1,0.0,0.0,0.0,0.0,XAGUSD.p,Lot0.1/E30/TP15/Mbd5/Recv2
128642746,2026-02-17 17:49:17,1,4,0.1,0.0,0.0,0.0,0.0,XAGUSD.p,
128657062,2026-02-17 18:00:00,0,4,0.1,0.0,0.0,0.0,0.0,XAGUSD.p,E15/TP8/Mbd1/Tstop5/Recv2
128659456,2026-02-17 18:01:52,1,4,0.1,0.0,73.437,0.0,0.0,XAGUSD.p,[tp 73.437]
128748019,2026-02-17 19:30:00,0,4,0.1,0.0,0.0,0.0,0.0,XAGUSD.p,E15/TP8/Mbd1/Tstop5/Recv2
128775100,2026-02-17 20:04:02,1,4,0.1,0.0,73.044,0.0,0.0,XAGUSD.p,[tp 73.044]
128775103,2026-02-17 20:04:02,0,4,0.1,0.0,0.0,0.0,0.0,XAGUSD.p,E15/TP8/Mbd1/Tstop5/Recv2
128783560,2026-02-17 20:11:18,1,4,0.1,0.0,73.22,0.0,0.0,XAGUSD.p,[tp 73.220]
128788232,2026-02-17 20:15:00,0,4,0.1,0.0,0.0,0.0,0.0,XAGUSD.p,E15/TP8/Mbd1/Tstop5/Recv2
